local,codigo,Avaliações bancárias de alojamentos familiares
0,0,Total
Portugal,PT,36605
Continente,1,35298
Norte,11,11542
Alto Minho,111,567
Arcos de Valdevez,1111601,46
Caminha,1111602,61
Melgaço,1111603,0
Monção,1111604,51
Paredes de Coura,1111605,0
Ponte da Barca,1111606,0
Ponte de Lima,1111607,82
Valença,1111608,0
Viana do Castelo,1111609,233
Vila Nova de Cerveira,1111610,0
Cávado,112,1369
Amares,1120301,69
Barcelos,1120302,262
Braga,1120303,733
Esposende,1120306,140
Terras de Bouro,1120310,0
Vila Verde,1120313,149
Ave,119,1480
Cabeceiras de Basto,1190304,36
Fafe,1190307,138
Guimarães,1190308,476
Mondim de Basto,1191705,0
Póvoa de Lanhoso,1190309,74
Vieira do Minho,1190311,0
Vila Nova de Famalicão,1190312,642
Vizela,1190314,0
Área Metropolitana do Porto,11A,6410
Arouca,11A0104,0
Espinho,11A0107,75
Gondomar,11A1304,635
Maia,11A1306,533
Matosinhos,11A1308,560
Oliveira de Azeméis,11A0113,238
Paredes,11A1310,251
Porto,11A1312,811
Póvoa de Varzim,11A1313,225
Santa Maria da Feira,11A0109,450
Santo Tirso,11A1314,212
São João da Madeira,11A0116,76
Trofa,11A1318,130
Vale de Cambra,11A0119,43
Valongo,11A1315,463
Vila do Conde,11A1316,340
Vila Nova de Gaia,11A1317,1340
Alto Tâmega e Barroso,11B,160
Boticas,11B1702,0
Chaves,11B1703,97
Montalegre,11B1706,0
Ribeira de Pena,11B1709,0
Valpaços,11B1712,0
Vila Pouca de Aguiar,11B1713,0
Tâmega e Sousa,11C,998
Amarante,11C1301,128
Baião,11C1302,0
Castelo de Paiva,11C0106,0
Celorico de Basto,11C0305,43
Cinfães,11C1804,0
Felgueiras,11C1303,141
Lousada,11C1305,177
Marco de Canaveses,11C1307,111
Paços de Ferreira,11C1309,152
Penafiel,11C1311,154
Resende,11C1813,0
Douro,11D,353
Alijó,11D1701,0
Armamar,11D1801,0
Carrazeda de Ansiães,11D0403,0
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,46
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,0
Murça,11D1707,0
Penedono,11D1812,0
Peso da Régua,11D1708,49
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,0
São João da Pesqueira,11D1815,0
Sernancelhe,11D1818,0
Tabuaço,11D1819,0
Tarouca,11D1820,0
Torre de Moncorvo,11D0409,0
Vila Nova de Foz Côa,11D0914,0
Vila Real,11D1714,116
Terras de Trás-os-Montes,11E,205
Alfândega da Fé,11E0401,0
Bragança,11E0402,82
Macedo de Cavaleiros,11E0405,0
Miranda do Douro,11E0406,0
Mirandela,11E0407,60
Mogadouro,11E0408,0
Vila Flor,11E0410,0
Vimioso,11E0411,0
Vinhais,11E0412,0
Centro,19,4751
Região de Aveiro,191,1152
Águeda,1910101,128
Albergaria-a-Velha,1910102,80
Anadia,1910103,82
Aveiro,1910105,295
Estarreja,1910108,66
Ílhavo,1910110,132
Murtosa,1910112,0
Oliveira do Bairro,1910114,70
Ovar,1910115,199
Sever do Vouga,1910117,0
Vagos,1910118,51
Região de Coimbra,192,1343
Arganil,1920601,0
Cantanhede,1920602,83
Coimbra,1920603,512
Condeixa-a-Nova,1920604,65
Figueira da Foz,1920605,228
Góis,1920606,0
Lousã,1920607,76
Mealhada,1920111,57
Mira,1920608,0
Miranda do Corvo,1920609,0
Montemor-o-Velho,1920610,61
Mortágua,1921808,0
Oliveira do Hospital,1920611,0
Pampilhosa da Serra,1920612,0
Penacova,1920613,0
Penela,1920614,0
Soure,1920615,43
Tábua,1920616,0
Vila Nova de Poiares,1920617,0
Região de Leiria,193,827
Alvaiázere,1931002,0
Ansião,1931003,0
Batalha,1931004,37
Castanheira de Pêra,1931007,0
Figueiró dos Vinhos,1931008,0
Leiria,1931009,382
Marinha Grande,1931010,174
Pedrógão Grande,1931013,0
Pombal,1931015,108
Porto de Mós,1931016,66
Viseu Dão Lafões,194,674
Aguiar da Beira,1940901,0
Carregal do Sal,1941802,0
Castro Daire,1941803,0
Mangualde,1941806,59
Nelas,1941809,38
Oliveira de Frades,1941810,0
Penalva do Castelo,1941811,0
Santa Comba Dão,1941814,0
São Pedro do Sul,1941816,0
Sátão,1941817,0
Tondela,1941821,68
Vila Nova de Paiva,1941822,0
Viseu,1941823,333
Vouzela,1941824,0
Beira Baixa,195,261
Castelo Branco,1950502,175
Idanha-a-Nova,1950505,0
Oleiros,1950506,0
Penamacor,1950507,0
Proença-a-Nova,1950508,0
Sertã,1950509,0
Vila de Rei,1950510,0
Vila Velha de Ródão,1950511,0
Beiras e Serra da Estrela,196,494
Almeida,1960902,0
Belmonte,1960501,0
Celorico da Beira,1960903,0
Covilhã,1960503,194
Figueira de Castelo Rodrigo,1960904,0
Fornos de Algodres,1960905,0
Fundão,1960504,61
Gouveia,1960906,0
Guarda,1960907,106
Manteigas,1960908,0
Mêda,1960909,0
Pinhel,1960910,0
Sabugal,1960911,0
