local,codigo,Valor mediano das rendas por m2
Portugal,PT,7.97
Continente,1,8.0
Norte,11,6.94
Alto Minho,111,5.89
Arcos de Valdevez,1111601,4.64
Caminha,1111602,5.83
Melgaço,1111603,3.29
Monção,1111604,6.58
Paredes de Coura,1111605,3.84
Ponte da Barca,1111606,3.64
Ponte de Lima,1111607,5.32
Valença,1111608,4.79
Viana do Castelo,1111609,6.99
Vila Nova de Cerveira,1111610,4.55
Cávado,112,6.98
Amares,1120301,4.47
Barcelos,1120302,5.42
Braga,1120303,7.69
Esposende,1120306,7.37
Terras de Bouro,1120310,0.0
Vila Verde,1120313,5.0
Ave,119,5.34
Cabeceiras de Basto,1190304,4.23
Fafe,1190307,4.12
Guimarães,1190308,5.75
Mondim de Basto,1191705,0.0
Póvoa de Lanhoso,1190309,4.68
Vieira do Minho,1190311,0.0
Vila Nova de Famalicão,1190312,5.71
Vizela,1190314,4.83
Área Metropolitana do Porto,11A,8.85
Arouca,11A0104,5.03
Alvarenga,11A010402,0.0
Chave,11A010407,0.0
Escariz,11A010409,0.0
Fermedo,11A010411,0.0
Mansores,11A010413,0.0
Moldes,11A010414,0.0
Rossas,11A010415,0.0
Santa Eulália,11A010416,0.0
São Miguel do Mato,11A010417,0.0
Tropeço,11A010418,0.0
União das freguesias de Arouca e Burgo,11A010421,6.28
União das freguesias de Cabreiros e Albergaria da Serra,11A010422,0.0
União das freguesias de Canelas e Espiunca,11A010423,0.0
União das freguesias de Covelo de Paivó e Janarde,11A010424,0.0
Urrô,11A010419,0.0
Várzea,11A010420,0.0
Espinho,11A0107,8.04
Espinho,11A010702,8.71
Paramos,11A010704,0.0
Silvalde,11A010705,8.19
União das freguesias de Anta e Guetim,11A010706,7.27
Gondomar,11A1304,7.56
Baguim do Monte (Rio Tinto),11A130412,9.26
Lomba,11A130405,0.0
Rio Tinto,11A130408,8.18
União das freguesias de Fânzeres e São Pedro da Cova,11A130413,6.46
União das freguesias de Foz do Sousa e Covelo,11A130414,0.0
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",11A130415,6.67
União das freguesias de Melres e Medas,11A130416,0.0
Maia,11A1306,8.57
Águas Santas,11A130601,8.25
Castêlo da Maia,11A130618,7.98
Cidade da Maia,11A130619,9.1
Folgosa,11A130603,0.0
Milheirós,11A130608,0.0
Moreira,11A130609,8.56
Nogueira e Silva Escura,11A130620,7.94
Pedrouços,11A130617,9.69
São Pedro Fins,11A130613,0.0
Vila Nova da Telha,11A130616,8.43
Matosinhos,11A1308,11.11
"União das freguesias de Custóias, Leça do Balio e Guifões",11A130811,8.46
União das freguesias de Matosinhos e Leça da Palmeira,11A130812,12.99
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",11A130813,8.48
União das freguesias de São Mamede de Infesta e Senhora da Hora,11A130814,11.18
Oliveira de Azeméis,11A0113,4.88
Carregosa,11A011301,0.0
Cesar,11A011302,0.0
Fajões,11A011303,0.0
Loureiro,11A011304,0.0
Macieira de Sarnes,11A011305,0.0
Ossela,11A011310,0.0
São Martinho da Gândara,11A011315,0.0
São Roque,11A011318,3.57
União das freguesias de Nogueira do Cravo e Pindelo,11A011320,4.84
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",11A011321,5.26
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",11A011322,0.0
Vila de Cucujães,11A011319,5.86
Paredes,11A1310,5.19
Aguiar de Sousa,11A131001,0.0
Astromil,11A131002,0.0
Baltar,11A131003,0.0
Beire,11A131004,0.0
Cete,11A131008,0.0
Cristelo,11A131009,0.0
Duas Igrejas,11A131010,0.0
Gandra,11A131011,5.44
Lordelo,11A131013,4.92
Louredo,11A131014,0.0
Parada de Todeia,11A131017,0.0
Paredes,11A131025,5.69
Rebordosa,11A131018,4.64
Recarei,11A131019,0.0
Sobreira,11A131020,0.0
Sobrosa,11A131021,0.0
Vandoma,11A131022,0.0
Vilela,11A131024,0.0
Porto,11A1312,12.58
Bonfim,11A131202,13.03
Campanhã,11A131203,12.37
Paranhos,11A131210,11.77
Ramalde,11A131211,11.44
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,14.29
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,13.64
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,12.97
Póvoa de Varzim,11A1313,8.15
Balazar,11A131305,0.0
Estela,11A131307,0.0
Laundos,11A131308,0.0
Rates,11A131311,0.0
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",11A131315,8.55
União das freguesias de Aguçadoura e Navais,11A131314,6.67
"União das freguesias de Aver-o-Mar, Amorim e Terroso",11A131313,7.73
Santa Maria da Feira,11A0109,5.86
Argoncilhe,11A010901,4.94
Arrifana,11A010902,5.89
Escapães,11A010904,0.0
Fiães,11A010907,5.7
Fornos,11A010908,0.0
Lourosa,11A010913,5.56
Milheirós de Poiares,11A010914,0.0
Mozelos,11A010916,0.0
Nogueira da Regedoura,11A010917,0.0
Paços de Brandão,11A010919,0.0
Rio Meão,11A010921,0.0
Romariz,11A010922,0.0
Sanguedo,11A010924,0.0
Santa Maria de Lamas,11A010925,0.0
São João de Ver,11A010926,5.93
São Paio de Oleiros,11A010918,0.0
União das freguesias de Caldas de São Jorge e Pigeiros,11A010932,0.0
"União das freguesias de Canedo, Vale e Vila Maior",11A010933,4.32
"União das freguesias de Lobão, Gião, Louredo e Guisande",11A010934,4.67
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",11A010935,6.65
União de freguesias de São Miguel de Souto e Mosteirô,11A010936,0.0
Santo Tirso,11A1314,5.15
Agrela,11A131401,0.0
Água Longa,11A131402,0.0
Aves,11A131405,4.67
Monte Córdova,11A131413,0.0
Negrelos (São Tomé),11A131430,0.0
Rebordões,11A131416,0.0
Reguenga,11A131418,0.0
Roriz,11A131419,0.0
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",11A131433,0.0
União das freguesias de Carreira e Refojos de Riba de Ave,11A131435,0.0
União das freguesias de Lamelas e Guimarei,11A131436,0.0
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",11A131437,6.13
Vila Nova do Campo,11A131434,0.0
Vilarinho,11A131432,0.0
São João da Madeira,11A0116,6.38
São João da Madeira,11A011601,6.38
Trofa,11A1318,6.8
Covelas,11A131806,0.0
Muro,11A131808,0.0
União das freguesias de Alvarelhos e Guidões,11A131809,0.0
União das freguesias de Bougado (São Martinho e Santiago),11A131810,7.22
União das freguesias de Coronado (São Romão e São Mamede),11A131811,5.95
Vale de Cambra,11A0119,4.65
Arões,11A011901,0.0
Cepelos,11A011903,0.0
Junqueira,11A011905,0.0
Macieira de Cambra,11A011906,0.0
Roge,11A011907,0.0
São Pedro de Castelões,11A011902,5.13
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",11A011910,4.25
Valongo,11A1315,7.75
Alfena,11A131501,7.65
Ermesinde,11A131503,8.14
União das freguesias de Campo e Sobrado,11A131506,6.03
Valongo,11A131505,7.95
Vila do Conde,11A1316,7.19
Árvore,11A131602,6.85
Aveleda,11A131603,0.0
Azurara,11A131604,0.0
Fajozes,11A131607,0.0
Gião,11A131610,0.0
Guilhabreu,11A131611,0.0
Junqueira,11A131612,0.0
Labruge,11A131613,9.2
Macieira da Maia,11A131614,0.0
Mindelo,11A131616,0.0
Modivas,11A131617,0.0
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",11A131631,0.0
União das freguesias de Fornelo e Vairão,11A131632,0.0
União das freguesias de Malta e Canidelo,11A131633,0.0
União das freguesias de Retorta e Tougues,11A131634,0.0
União das freguesias de Rio Mau e Arcos,11A131635,0.0
União das freguesias de Touguinha e Touguinhó,11A131636,0.0
União das freguesias de Vilar e Mosteiró,11A131637,0.0
Vila Chã,11A131627,0.0
Vila do Conde,11A131628,7.83
Vilar de Pinheiro,11A131630,0.0
Vila Nova de Gaia,11A1317,9.39
Arcozelo,11A131701,8.78
Avintes,11A131702,8.13
Canelas,11A131703,7.62
Canidelo,11A131704,9.72
Madalena,11A131709,9.6
Oliveira do Douro,11A131712,9.31
São Félix da Marinha,11A131717,8.42
União das freguesias de Grijó e Sermonde,11A131725,6.04
União das freguesias de Gulpilhares e Valadares,11A131726,8.66
União das freguesias de Mafamude e Vilar do Paraíso,11A131727,10.31
União das freguesias de Pedroso e Seixezelo,11A131728,6.81
