local,codigo,Dissolução de pessoas coletivas e entidades equiparadas
0,0,Total
Portugal,PT,1098
Continente,1,1069
Norte,11,378
Alto Minho,111,21
Arcos de Valdevez,1111601,3
Caminha,1111602,4
Melgaço,1111603,0
Monção,1111604,2
Paredes de Coura,1111605,1
Ponte da Barca,1111606,0
Ponte de Lima,1111607,3
Valença,1111608,2
Viana do Castelo,1111609,6
Vila Nova de Cerveira,1111610,0
Cávado,112,45
Amares,1120301,2
Barcelos,1120302,12
Braga,1120303,20
Esposende,1120306,6
Terras de Bouro,1120310,0
Vila Verde,1120313,5
Ave,119,38
Cabeceiras de Basto,1190304,1
Fafe,1190307,3
Guimarães,1190308,18
Mondim de Basto,1191705,1
Póvoa de Lanhoso,1190309,1
Vieira do Minho,1190311,1
Vila Nova de Famalicão,1190312,13
Vizela,1190314,0
Área Metropolitana do Porto,11A,203
Arouca,11A0104,1
Espinho,11A0107,3
Gondomar,11A1304,14
Maia,11A1306,13
Matosinhos,11A1308,22
Oliveira de Azeméis,11A0113,10
Paredes,11A1310,11
Porto,11A1312,48
Póvoa de Varzim,11A1313,7
Santa Maria da Feira,11A0109,9
Santo Tirso,11A1314,6
São João da Madeira,11A0116,2
Trofa,11A1318,1
Vale de Cambra,11A0119,0
Valongo,11A1315,9
Vila do Conde,11A1316,7
Vila Nova de Gaia,11A1317,40
Alto Tâmega e Barroso,11B,6
Boticas,11B1702,0
Chaves,11B1703,4
Montalegre,11B1706,0
Ribeira de Pena,11B1709,1
Valpaços,11B1712,0
Vila Pouca de Aguiar,11B1713,1
Tâmega e Sousa,11C,40
Amarante,11C1301,6
Baião,11C1302,0
Castelo de Paiva,11C0106,1
Celorico de Basto,11C0305,1
Cinfães,11C1804,3
Felgueiras,11C1303,3
Lousada,11C1305,7
Marco de Canaveses,11C1307,4
Paços de Ferreira,11C1309,8
Penafiel,11C1311,7
Resende,11C1813,0
Douro,11D,16
Alijó,11D1701,2
Armamar,11D1801,2
Carrazeda de Ansiães,11D0403,0
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,1
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,1
Murça,11D1707,0
Penedono,11D1812,0
Peso da Régua,11D1708,1
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,1
São João da Pesqueira,11D1815,0
Sernancelhe,11D1818,0
Tabuaço,11D1819,0
Tarouca,11D1820,0
Torre de Moncorvo,11D0409,3
Vila Nova de Foz Côa,11D0914,0
Vila Real,11D1714,5
Terras de Trás-os-Montes,11E,9
Alfândega da Fé,11E0401,1
Bragança,11E0402,6
Macedo de Cavaleiros,11E0405,0
Miranda do Douro,11E0406,0
Mirandela,11E0407,1
Mogadouro,11E0408,1
Vila Flor,11E0410,0
Vimioso,11E0411,0
Vinhais,11E0412,0
Centro,19,123
Região de Aveiro,191,25
Águeda,1910101,7
Albergaria-a-Velha,1910102,2
Anadia,1910103,2
Aveiro,1910105,5
Estarreja,1910108,2
Ílhavo,1910110,3
Murtosa,1910112,0
Oliveira do Bairro,1910114,1
Ovar,1910115,2
Sever do Vouga,1910117,0
Vagos,1910118,1
Região de Coimbra,192,38
Arganil,1920601,1
Cantanhede,1920602,2
Coimbra,1920603,15
Condeixa-a-Nova,1920604,1
Figueira da Foz,1920605,3
Góis,1920606,0
Lousã,1920607,1
Mealhada,1920111,0
Mira,1920608,0
Miranda do Corvo,1920609,3
